


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL HONDA",,,,,"1,474",,,,,,,,,,,,,,,,,,,,,,,,"1,474",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL ISUZU SUNSHINE COAST",,,,,"1,074",,,,,,,,,,,,,,,,,,,,,,,,"1,074",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL MAZDA WIDE BAY",,,,,"1,044",,,"1,143",,,,,,,,,,,,,,,,,,,,,"2,187",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL MOTOR GROUP SSC",,,,,324,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL TOYOTA GYMPIE",,,,,"1,201",,,"1,572",,,558,,,,,,,,,,,,,,,,,,"3,331",,,,,,,
"MADILL TOYOTA NOOSA",,,,,"1,358",,,"2,640",,,"1,011",,,,,,,,,,,,,,,,,,"5,009",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL USED CARS NOOSA",,,,,"1,350",,,"2,360",,,,,,,,,,,,,,,,,,,,,"3,710",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADILL USED CARS GYMPIE",,,,,,,,"1,308",,,,,,,,,,,,,,,,,,,,,"1,308",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MFG BUDERIM",,,,,,,,"1,295",,,,,,,,,,,,,,,,,,,,,"1,295",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MONTVILLE MIST AUSTRALIA",,,,,713,,,570,,,,,,,,,,,,,,,,,,,,,"1,283",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEAT FEAT PRODUCTS",,,,,"10,340",,,"6,800",,,"5,355",,,,,,,,,,,,,,,,,,"22,495",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF CAIRNS",,,,,"6,005",,,"2,610",,,"3,744",,,,,,,,,,,,,,,,,,"12,359",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF MACKAY",,,,,,,,"2,610",,,"3,175",,,,,,,,,,,,,,,,,,"5,785",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF ROCKHAMPTON",,,,,"5,525",,,"2,080",,,"3,630",,,,,,,,,,,,,,,,,,"11,235",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF SUNSHINE COAST",,,,,"7,405",,,"3,620",,,"3,870",,,,,,,,,,,,,,,,,,"14,895",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF TOWNSVILLE",,,,,"6,062",,,"2,910",,,"3,731",,,,,,,,,,,,,,,,,,"12,703",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OMF WIDE BAY",,,,,"5,408",,,"4,050",,,"3,225",,,,,,,,,,,,,,,,,,"12,683",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ORIS DENTAL",,,,,,,,"1,779",,,,,,,,,,,,,,,,,,,,,"1,779",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PACK & SEND MAROOCHYDORE",,,,,713,,,,,,,,,,,,,,,,,,,,,,,,713,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PINK VISION - ACORN STAIRLIFTS",,,,,,,,,,,"2,450",,,,,,,,,,,,,,,,,,"2,450",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROKITZ ENTERTAINMENT",,,,,"3,868",,,,,,,,,,,,,,,,,,,,,,,,"3,868",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEAFOOD MARKET @ CALOUNDRA",,,,,,,,580,,,,,,,,,,,,,,,,,,,,,580,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEE WELL LAW",,,,,"1,745",,,"1,200",,,,,,,,,,,,,,,,,,,,,"2,945",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLOMONS MACKAY",,,,,"1,182",,,"1,345",,,"1,562",,,,,,,,,,,,,,,,,,"4,089",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLOMONS SUNSHINE COAST",,,,,"2,050",,,"2,817",,,"2,434",,,,,,,,,,,,,,,,,,"7,301",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLOMONS TOOWOOMBA",,,,,"2,000",,,"1,032",,,597,,,,,,,,,,,,,,,,,,"3,629",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLOMONS WIDE BAY",,,,,"1,230",,,"1,752",,,"1,432",,,,,,,,,,,,,,,,,,"4,414",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOUTHERN CROSS SHEDS SUNSHINE COAST",,,,,"1,230",,,"1,050",,,"1,905",,,,,,,,,,,,,,,,,,"4,185",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNSHINE COAST WINDSCREENS PTY LTD",,,,,"1,380",,,,,,,,,,,,,,,,,,,,,,,,"1,380",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNSHINE COAST WASHERS & FRIDGES",,,,,,,,"3,628",,,,,,,,,,,,,,,,,,,,,"3,628",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNSTATE BRP CAN-AM SPYDER",,,,,"2,019",,,,,,,,,,,,,,,,,,,,,,,,"2,019",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNSTATE BRP SEA-DOO SUNSHINE COAST",,,,,,,,"1,119",,,"1,188",,,,,,,,,,,,,,,,,,"2,307",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNSTATE TRIUMPH",,,,,410,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUPAVIEW SECURITY & SUNSCREEN",,,,,713,,,945,,,"2,220",,,,,,,,,,,,,,,,,,"3,878",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRANSPORTABLE SHADE SHEDS PTY LTD",,,,,,,,"2,775",,,,,,,,,,,,,,,,,,,,,"2,775",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRU-BUILT & TRU-BALUSTRADE",,,,,"1,766",,,,,,,,,,,,,,,,,,,,,,,,"1,766",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WALTER IEZZI PROPERTY GROUP",,,,,"2,959",,,,,,,,,,,,,,,,,,,,,,,,"2,959",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Kim Jarrott_archived",,,,,"123,289",,,"106,808",,,"51,888",,,,,,,,,,,,,,,,,,"281,985",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Airtime",,,,,"123,289",,,"106,808",,,"51,888",,,,,,,,,,,,,,,,,,"281,985",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Airtime + Incl.Non Air.",,,,,"123,289",,,"106,808",,,"51,888",,,,,,,,,,,,,,,,,,"281,985",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Produced Using IBMS",,,,,,,,,,,,,,,,,,,,
"User: Roylene Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,"Time: 12:45:00 PM",,,,,,,,,
